TIPO,DESCRIPCION,RAZON,GIRO,ENTIDAD,INCUMPLIMIENTO,RESULTADO
MU�ECOS,EN EMPAQUE DE CARTON ESTAMPADO Y PLASTICO RIGIDO  MU�ECA PARA NI�A DE LA MARCA BARBIE DE ORIGEN CHINA. CONTENIDO UNA PIEZA MODELO BARBIE BASICA LIFE FASHION CON NUMERO DE LOTE T7439 INDICA INFORMACION IMPORTANTE PARA CONSULTA  IMPO,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,JUGUETERIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ROPA CABALLERO,CAMISA PARA CABALLERO EN COLOR AZUL MARINO DE LA MARCA C & A DE ORIGEN BANGLADESH  IMPORTADO POR C & A MEXICO  DE COMPOSICION EN 64% ALGODON  32% POLIAMIDA Y 4% ELASTANO CON NUMERO DE LOTE 252959. CONTIENE INSTRUCCIONES DE CUIDADO,C&A DE MEXICO S. DE R.L.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,"UNA BOTELLA BRANDY DE LA MARCA TORRES 10 CON LA LEYENDA 100% DE UVA  GRAN RESERVA CON 38% ALC. VOL. CON UN CONTENIDO NETO DE 700ML CON SELLO DE SHCP CON LA LEYENDA ""EL ABUSE EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",ASFEIXAS  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,ENVASE DE VIDRIO CONTENIDO BRANDY DE LA MARCA AZTECA DE ORO  SOLERA RESERVADA CON 38% ALC. VOL. CONTENIDO NETO 700ML HECHO ENMEXICO PRODUCTO 100% DE UVA FABRICADO POR INDUSTRIAS VINICOLAS PEDRO DOMER  S.A. DE C.V.,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE VIDRIO CONTENIDO BRANDY 100% UVA GRAN RESERVA MARCA TORRES 10 CONT. NET. 700ML  38%ALC. VOL. ORIGEN ESPA�A,MOTEL LUA- COMPA�IA HOTELERA PESCADORES  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE VIDRIO CONTENIDO BRANDY 100% DE UVA MARCA TORRES 10 CONTENIDO NETO 700 ML  38% ALC. VOL. ORIGEN ESPA�A,MOTEL PEDRA- PEDRA  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ZAPATOS,ZAPATOS EN COLOR ROJO PARA CABALLERO DE LA MARCA PUMA DE LA TALLA 24 CORTE PIEL VACUNO  FORRO TEXTIL  SUELA SINTETICA HECHO EN INDONESIA IMPORTADO Y DISTRIBUIDO POR DA MEXICO CALZADO Y ARTICULOS DEPORTIVOS S. DE R.L. DE C.V.,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,ZAPATERIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ROPA,VESTIDO CORTO ESTILO 12249  TALLA 13  100% POLIESTER  FORRO NACIONAL. LAVAR EN SECO. NO USAR BLANQUEADOR. PLANCHAR CON LIENZO HECHO EN MEXICO DE LA MARCA LA DIFFERENCE  S.A. DE C.V.,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,ROPA PARA DAMA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
RON,"EN ENVASE DE VIDRIO CONTENIDO 750 ML DE RON TIPO SOLERA DE LA MARCA BACARDI CON 38% ALC. VOL. HECHO EN MEXICO CON LEYENDA INSERTA: EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,HOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE VIDRIO CONTENIDO TEQUILA 100% DE AGAVE MARCA GRAN CENTENARIO REPOSADO. HECHO EN MEXICO CONTENIDO NETO 950 ML 35% ALC. VOL. CON LEYENDA DE ABUSO DEL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD,MOTEL LOS ARCOS S.A. DE C.V.,BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
